id,seed,final_train_perplexity,final_val_perplexity,model_dir,model_path,msf_ppl
20250926-105209,500037,619.3903780011777,605.6183486721279,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105209'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105209'}/checkpoint_step1700_tokens87040000.pt,3955.84
20250926-105147,541328,,,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105147'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105147'}/checkpoint_step1700_tokens87040000.pt,
20250926-105154,643089,898.3617907264385,909.1408202993323,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105154'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105154'}/checkpoint_step1700_tokens87040000.pt,7440.64
20250926-103318,693682,1180.3648145295926,1242.6481670549958,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103318'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103318'}/checkpoint_step1700_tokens87040000.pt,14386.24
20250926-105148,725379,475.1463472902485,534.4563168515505,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105148'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105148'}/checkpoint_step1700_tokens87040000.pt,3108.64
20250926-103448,751624,476.593139485886,486.6280141983472,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103448'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103448'}/checkpoint_step1700_tokens87040000.pt,2992.08
20250926-103319,814645,995.4822859816292,1242.6481670549958,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103319'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103319'}/checkpoint_step1700_tokens87040000.pt,10243.84
20250926-103334,832167,508.04369379731406,551.4217815078388,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103334'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103334'}/checkpoint_step1700_tokens87040000.pt,3383.76
20250926-103337,950981,1088.4664965219827,1030.1915141420939,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103337'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103337'}/checkpoint_step1700_tokens87040000.pt,11211.84
20250926-105155,1056926,,,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105155'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105155'}/checkpoint_step1700_tokens87040000.pt,
