id,seed,final_train_perplexity,final_val_perplexity,model_path,rho_act,fro_norm,w_mean,w_std,w_sign_ratio,w_skew,w_kurt,self_loops,deg_skew,deg_var,moment2_trace,moment3_trace,in_sum_var,out_sum_var,sign_balance_var
20250721-152314,986512,513.9693627541903,429.4477152409339,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-152314'}/checkpoint_step6000_tokens98304000.pt,0.9848204353900645,281.657619356205,0.0001351585626524691,0.19451729564853076,0.500197457661071,0.0005485558200592867,-0.0003295250263897209,22.0,0.6596480717088142,1.9744720458984375,0.00030791615759855485,0.0016929814178067335,1.1957649167873856,1.2160818519334202,0.032184084966182455
20250727-030225,1360681,115.98284444400568,148.4131591025766,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-030225'}/checkpoint_step6000_tokens98304000.pt,0.9155721202941534,253.56158094695613,0.00011052460205578503,0.175113558628144,0.5003057249257866,0.0014092700915277333,0.002837275733146072,29.0,0.6290353913400524,1.97259521484375,-0.0005728993280878569,0.0008340076018394418,0.9822193134878836,0.9833178527812518,0.03208991785177637
20250730-010810,1665574,770.4766680345258,686.2554949467076,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250730-010810'}/checkpoint_step6000_tokens98304000.pt,0.9936609946963876,303.73085608717076,0.00022957872259832534,0.20976150409378605,0.5003288580968965,0.0016400637648968102,0.0010239906850539882,40.0,0.8279270320704014,1.9265966415405273,-0.0017740012511664553,-0.0018939592308689236,1.40476875796495,1.4082729783502115,0.03239456854475445
20250728-101625,1802095,117.23848858788008,153.12429849019884,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250728-101625'}/checkpoint_step6000_tokens98304000.pt,0.8766998666352894,257.15161222396324,-0.00010674668218807217,0.17759306258025848,0.49980158843718464,0.0010595988870762507,-0.0014719753845064965,36.0,0.6683810609713545,1.9554100036621094,-0.0002709411719668911,-0.0011559463522309752,1.015094106573034,1.0119517671965923,0.03252409725063288
20250727-010603,2025974,122.18505588333213,179.02044192165667,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-010603'}/checkpoint_step6000_tokens98304000.pt,0.8412445195333589,260.0906848178756,0.00018486929323109362,0.1796236276831999,0.5007073248905864,-0.0006807944166617887,-0.0004683329079973042,22.0,0.6594341790874717,1.9044866561889648,0.00010411784184338868,0.0005780199287946941,1.0274094029917769,1.025811678666713,0.03225376540251534
20250726-230941,2423809,637.6946196346523,534.4563168515505,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250726-230941'}/checkpoint_step6000_tokens98304000.pt,0.9899151716046565,293.71796711525,-0.00014675731617420088,0.2028473781076369,0.5001042148093775,-0.003144753932750988,0.001200176192738489,23.0,0.6516922381937206,2.0153656005859375,-0.0007642004315041144,-0.0003743642026200702,1.3209734282427006,1.3188557083929142,0.0322796319573434
20250728-121302,2547316,142.31292304927527,190.56626845863,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250728-121302'}/checkpoint_step6000_tokens98304000.pt,0.9302111634794843,263.99584829275517,2.2999712563680317e-05,0.18232048637830853,0.5000465030427299,0.0015724338178828077,0.00412801840336563,29.0,0.6665574436873678,1.9321355819702148,-7.365986993261453e-05,-0.0010558307068381447,1.0705002967974422,1.0701400068937772,0.03255083565788966
20250727-165722,2865305,113.32652422449956,143.8469662358426,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-165722'}/checkpoint_step6000_tokens98304000.pt,0.7873079426118885,256.9972033363152,4.9688691977142534e-05,0.17748742392149866,0.49994252678943196,-5.873770826740136e-05,0.002855090773998814,36.0,0.7570505055185911,1.9587087631225586,-0.0001248184954824583,0.0006466181261294468,1.0115012264903105,1.0108546401459233,0.03227307153880001
20250727-185359,3221079,727.5047950878405,624.8427387029609,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-185359'}/checkpoint_step6000_tokens98304000.pt,0.6300908720854004,300.7200511868159,0.00014005007998879132,0.2076831615779363,0.5004681319698125,-0.00036831871271839924,0.0018201674668949508,42.0,0.7246137421803259,2.0615081787109375,-0.0014123784228873022,-0.0009122957680063463,1.3744529703993829,1.3772200856344394,0.032517815351737464
20250727-130235,3552516,4154.289865786993,13359.726829661871,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-130235'}/checkpoint_step6000_tokens98304000.pt,0.9873258403497622,624.6211900192766,0.0003385311212514427,0.4313771450015051,0.5005919061955074,-0.0023626494192364356,0.0035485403112374136,34.0,0.8573164393858727,2.0227012634277344,-0.0037697843311293097,-0.005474586512204867,5.924238366869638,6.01837070180575,0.03231934232341823
20250729-191841,3620679,118.27818394147636,162.99996726850102,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250729-191841'}/checkpoint_step6000_tokens98304000.pt,0.9356402942629566,257.5205040265607,1.0624564725201093e-05,0.17784819633535998,0.49992321061658535,0.0018021994865611644,0.0041190082187192445,36.0,0.6895323393226523,2.0774192810058594,0.0011560575159593504,-4.062932537099101e-05,1.0104842091572346,1.0076729102492425,0.032337900004359536
20250729-211525,3882035,115.68540943174604,168.17414165184545,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250729-211525'}/checkpoint_step6000_tokens98304000.pt,0.76472484879398,257.8218938133679,4.821886983796888e-05,0.1780566749186623,0.500437844241919,-0.00015433173220412698,9.92462366968816e-05,36.0,0.6985380441522541,2.083868980407715,0.0005371902927059911,-0.00033846098414033743,1.014809243085443,1.0168905834893973,0.032539638724589384
20250727-150021,4159348,124.1927806559348,157.98498549518746,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-150021'}/checkpoint_step6000_tokens98304000.pt,0.9896829154532507,259.64927705023234,-0.0001574002362557971,0.1793167562679292,0.499516378274224,-0.0003806136676637672,0.001628004615355394,29.0,0.6650817284635231,1.9891042709350586,0.00037157409171178124,0.0010414175852284382,1.0325694674688124,1.0146486236322416,0.03256414541310702
20250724-180859,4186150,251.07030363588035,286.07385163895896,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250724-180859'}/checkpoint_step6000_tokens98304000.pt,0.41816189327167846,270.913317892352,1.9385852291084328e-05,0.1870964826234753,0.5004643083522562,-0.0005360316828778287,-0.0014396601611017523,35.0,0.7272400045676388,1.9527883529663086,-0.00018354275458835393,0.0004209538776130175,1.1169362105135194,1.1239499236114292,0.03258294175314712
20250726-211249,4632219,107.0172805739331,143.8469662358426,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250726-211249'}/checkpoint_step6000_tokens98304000.pt,0.9896470959798019,251.96472144445394,-0.00025078364710514836,0.1740110116199339,0.4991648566329271,0.0016133076417999134,0.0019136227590026422,29.0,0.7070561605715234,1.960463523864746,-7.532286314487335e-05,6.357239904948163e-05,0.9608322717671105,0.97303901826194,0.032143043126560605
20250729-231148,4693068,683.6299114655816,551.4217815078388,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250729-231148'}/checkpoint_step6000_tokens98304000.pt,0.937552630948226,293.0129783913788,4.329489515266344e-05,0.20235885839663656,0.500341017596508,-0.0032372346989665143,-0.00084404770838864,33.0,0.6654251875475109,1.86370849609375,-0.0001095330326536738,-0.0011487885079072835,1.3078283960981185,1.3081699639342337,0.03256253955994766
20250725-175804,6376404,2433.772541666509,3827.6258214399054,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250725-175804'}/checkpoint_step6000_tokens98304000.pt,0.992285903586572,486.5957416167674,-0.0003529506794802397,0.3360520469778341,0.49946056444704756,0.00010611938632561449,0.006930904969395968,26.0,0.619654199199299,2.0133628845214844,-0.002966595769071476,0.0029829912190207143,3.629163191933838,3.5984513520452364,0.032426273425842714
20250725-202600,7654433,840.1036492454629,827.7821368360857,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250725-202600'}/checkpoint_step6000_tokens98304000.pt,0.5068056173764982,311.10992573142073,-5.234531747664572e-05,0.21485583696903462,0.49986979452335734,-0.0003247582239160739,-0.0019138804309846158,42.0,0.6022582958887583,2.1693382263183594,0.002357249773895865,-0.0005656358549900909,1.486907644457209,1.4731285493473867,0.03205501149311155
